Agent,Building,Total Profit,Total Cost,Total Emissions,Total Raw Reward,RuntimeSeconds,TrainingSeconds,InferenceTotalSeconds,InferenceMeanSeconds,InferenceMedianSeconds,InferenceMaxSeconds,NumInferenceDecisions
noBess,building_1,-1366.427726509994,1366.427726509994,6429.444010220377,0.0,15.897417022000013,0.0,0.041909796001135646,2.3921116439004366e-06,2.3339999870586325e-06,2.5888999999779116e-05,17520
noBess,building_2,-1183.939826549999,1183.939826549999,4492.264486508107,0.0,15.559386912000008,0.0,0.04133032000024173,2.3590365296941626e-06,2.3510000062287872e-06,1.3074999998252679e-05,17520
noBess,building_3,-383.1451722399996,383.1451722399996,1721.289941486433,0.0,15.559178024000005,0.0,0.04078106500242029,2.327686358585633e-06,2.3149999606175697e-06,3.474099997902158e-05,17520
noBess,building_4,-994.7027162799993,994.7027162799993,4079.0465693039814,0.0,15.518679347999978,0.0,0.04135180500304614,2.3602628426396198e-06,2.3339999870586325e-06,2.9186000006120594e-05,17520
noBess,building_5,-1125.156312220002,1125.156312220002,4550.542410096185,0.0,15.491383704999976,0.0,0.04130904099832833,2.3578219747904295e-06,2.3339999870586325e-06,1.2943999990966404e-05,17520
