timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,-0.4414113759994507,-0.1084775341363482,0.0,-0.0542387670681741,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,1.905,0.0,1.905,1.905,1.905,0.0,0.24614,1.0100194492761367,-0.4688967,1.9240870508710406,0.0,0.0,-0.4688967,-0.4688967,1.9240870508710406,1.9240870508710406,0.0542387670681741,0.0,0.0,0.0,0.0,0.014684499999930267
1,-0.4270935356616974,-0.10495890254131801,0.0,-0.052479451270659006,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,1.1740000000000002,0.0,1.1740000000000002,1.1740000000000002,1.1740000000000002,0.0,0.2427899999999999,1.0086042505143096,-0.2850354599999999,1.1841013901037996,0.0,0.0,-0.2850354599999999,-0.75393216,1.1841013901037996,3.10818844097484,0.052479451270659006,0.0,0.0,0.0,0.0,0.008409602998654009
2,-0.35419797897338867,-0.08704470578746282,0.0,-0.04352235289373141,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.105,0.0,0.105,0.105,0.105,0.0,0.2410399999999999,1.0058577644337745,-0.025309199999999987,0.10561506526554632,0.0,0.0,-0.025309199999999987,-0.77924136,0.10561506526554632,3.213803506240386,0.04352235289373141,0.0,0.0,0.0,0.0,0.008189288000721717
3,-0.1457003802061081,-0.035806095689538076,0.0,-0.017903047844769038,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.075,0.0,0.075,0.075,0.075,0.0,0.24123,1.0084493370808598,-0.01809225,0.07563370028106449,0.0,0.0,-0.01809225,-0.79733361,0.07563370028106449,3.2894372065214506,0.017903047844769038,0.0,0.0,0.0,0.0,0.008224713999879896
4,-0.32670509815216064,-0.08028828744405558,0.0,-0.04014414372202779,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.102,0.0,0.102,0.102,0.102,0.0,0.2365399999999999,1.0069211806071423,-0.024127079999999988,0.1027059604219285,0.0,0.0,-0.024127079999999988,-0.82146069,0.1027059604219285,3.392143166943379,0.04014414372202779,0.0,0.0,0.0,0.0,0.008214232999307569
5,-0.3306688368320465,-0.08126238240701689,0.0,-0.04063119120350844,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.072,0.0,0.072,0.072,0.072,0.0,0.23507,1.0086558883254595,-0.01692504,0.07262322395943308,0.0,0.0,-0.01692504,-0.8383857299999999,0.07262322395943308,3.464766390902812,0.04063119120350844,0.0,0.0,0.0,0.0,0.008196972999940044
6,-0.6770263910293579,-0.16638029157677892,0.0,-0.08319014578838946,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.075,0.0,0.075,0.075,0.075,0.0,0.23101,1.0118638873431471,-0.017325749999999997,0.07588979155073604,0.0,0.0,-0.017325749999999997,-0.85571148,0.07588979155073604,3.540656182453548,0.08319014578838946,0.0,0.0,0.0,0.0,0.008210825000787736
7,-0.6037700176239014,-0.14837742355190642,0.0,-0.07418871177595321,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.092,0.0,0.092,0.092,0.092,0.0,0.22352,1.014524848298966,-0.02056384,0.09333628604350487,0.0,0.0,-0.02056384,-0.87627532,0.09333628604350487,3.633992468497053,0.07418871177595321,0.0,0.0,0.0,0.0,0.0084410849995038
8,-0.49955418705940247,-0.12276622064167064,0.0,-0.06138311032083532,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.067,0.0,0.067,0.067,0.067,0.0,0.23591,1.0172455154739266,-0.015805970000000003,0.0681554495367531,0.0,0.0,-0.015805970000000003,-0.8920812899999999,0.0681554495367531,3.702147918033806,0.06138311032083532,0.0,0.0,0.0,0.0,0.008173251999323838
9,-0.5105028748512268,-0.12545687774355585,0.0,-0.06272843887177793,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.076,0.0,0.076,0.076,0.076,0.0,0.2391499999999999,1.020054935136801,-0.01817539999999999,0.07752417507039687,0.0,0.0,-0.01817539999999999,-0.9102566899999999,0.07752417507039687,3.7796720931042027,0.06272843887177793,0.0,0.0,0.0,0.0,0.008181158000297728
10,-0.6983398199081421,-0.17161809996702715,0.0,-0.08580904998351357,0.0,0.0,0.0,0.7372546792030334,0.24575155973434448,0.083,0.0,0.083,0.083,0.083,0.0,0.24173,1.0237680164947986,-0.020063590000000003,0.08497274536906829,0.0,0.0,-0.020063590000000003,-0.9303202799999999,0.08497274536906829,3.864644838473271,0.08580904998351357,0.0,0.0,0.0,0.0,0.008166677000190248
