dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,386,0.05,,,172.0,0.032027,0.134622,0.025122,0.11897,0.03897,0.15384,1.216754,0.033161,0.139707,-0.029646,-0.004406,0.036209,0.148891,-0.097539,-0.036282,-1539.452869,-572.632176,0.590635,0.243193,,,,0.000182,0.647247,22.290318,0.16767,0.0,23.105443,0.000291,0.947365,24.66333,1.101052,630.851471,657.563511,680.668955,,,,,,,,,,,,,1.091909,1.06574
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,50,386,0.01,True,False,,0.028721,0.12311,0.023888,0.112533,0.03918,0.141369,1.364154,0.028493,0.122033,0.012897,-0.010597,0.02732,0.122708,-0.022025,-0.008193,-347.622358,-129.305516,0.561427,0.222645,,,,0.000188,0.424869,0.198527,0.000541,0.0,0.624162,0.000306,0.626119,0.204386,0.003634,47.662651,48.497099,49.121261,,,,,,27.841301,0.556826,27.841301,0.556826,0.272279,0.272279,43.767057,0.95885,1.005532
