Agent,Building,Total Profit,Total Cost,Total Emissions,Total Raw Reward,RuntimeSeconds,TrainingSeconds,InferenceTotalSeconds,InferenceMeanSeconds,InferenceMedianSeconds,InferenceMaxSeconds,NumInferenceDecisions,OptimizationSolveSeconds
MIP,building_1,-880.0025833047513,880.0025833047513,3491.0541504114594,1712.4075015070546,27.151488836999988,0.0,11.639647426999996,0.000664363437614155,0.0006643634376141553,0.0006643634376141553,17520,11.639647427
MIP,building_2,-1087.3227732241344,1087.3227732241344,3882.154298671056,353.36362058146244,28.465761301999976,0.0,12.985139722999977,0.000741160943093606,0.0007411609430936059,0.0007411609430936059,17520,12.985139722999975
MIP,building_3,-259.222789452251,259.222789452251,997.9270942780029,423.64261499808646,27.24373006899998,0.0,11.766978552000012,0.0006716311958904116,0.0006716311958904116,0.0006716311958904116,17520,11.766978552000012
MIP,building_4,-939.303543150163,939.303543150163,3739.8867040687014,197.27951918255917,27.155617902000017,0.0,11.714884668000025,0.0006686578006849329,0.0006686578006849329,0.0006686578006849329,17520,11.714884668000025
MIP,building_5,-1086.8578834783948,1086.8578834783948,4312.661612249268,138.08961329426174,26.966163955999946,0.0,11.510318420000086,0.0006569816449771738,0.000656981644977174,0.000656981644977174,17520,11.51031842000009
