dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,2,0.05,,,884.0,0.127436,0.267341,0.094693,0.236973,0.14574,0.296928,1.143629,0.188831,0.337662,-0.240508,0.069342,0.133091,0.2923,-0.547325,-0.20352,-8638.426572,-3212.156143,0.75727,0.455323,,,,0.000189,0.012709,211.549897,0.265195,0.0,211.828046,0.000396,0.01871,236.45286,1.705525,0.756227,238.933732,450.761778,,,,,,,,,,,,,0.704817,0.865659
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,2,2,0.01,True,False,,0.463133,0.569666,0.455637,0.577802,0.452381,0.551644,0.976784,0.456774,0.566532,0.032434,0.071836,0.442489,0.573424,0.13498,0.050192,2130.38629,792.173592,0.534119,0.771662,,,,0.000221,0.010573,0.001121,3.5e-05,0.0,0.011975,0.000219,0.014981,0.001224,0.001061,0.004118,0.021614,0.033589,,,,,,1.880937,0.940468,1.880937,0.940468,0.374203,0.374203,1.880937,0.968727,1.012165
