time,treated_actual,period,evaluation_split,synthetic_scm,gap_scm,synthetic_nn_scm,gap_nn_scm
2010-07-01 00:30:00,4.752999782562256,pre,training,4.736467914551169,0.016531868011086637,4.4412946701049805,0.3117051124572754
2010-07-01 01:00:00,4.914999961853027,pre,training,4.3432564816554775,0.5717434801975498,4.360878944396973,0.5541210174560547
2010-07-01 01:30:00,-1.8609999418258667,pre,training,-1.788513752378575,-0.07248618944729168,-1.766514778137207,-0.09448516368865967
2010-07-01 02:00:00,-2.3350000381469727,pre,training,-2.1520982166718454,-0.18290182147512724,-2.027287483215332,-0.3077125549316406
2010-07-01 02:30:00,0.3799999952316284,pre,training,1.0321106295326674,-0.652110634301039,1.1881945133209229,-0.8081945180892944
2010-07-01 03:00:00,1.3289999961853027,pre,training,1.033351350251797,0.2956486459335057,1.2000224590301514,0.12897753715515137
2010-07-01 03:30:00,3.3910000324249268,pre,training,3.9274679113095696,-0.5364678788846429,4.015176296234131,-0.6241762638092041
2010-07-01 04:00:00,3.2980000972747803,pre,training,4.010288885638998,-0.7122887883642175,4.112166404724121,-0.8141663074493408
2010-07-01 04:30:00,3.303999900817871,pre,training,3.8147453017742046,-0.5107454009563335,4.064847946166992,-0.7608480453491211
2010-07-01 05:00:00,1.3380000591278076,pre,training,0.6474626791422056,0.690537379985602,0.9570274949073792,0.38097256422042847
2010-07-01 05:30:00,-2.953000068664551,pre,training,-2.586017285864922,-0.3669827827996288,-2.3075506687164307,-0.6454493999481201
2010-07-01 06:00:00,3.318000078201294,pre,training,3.60485066309111,-0.28685058488981596,3.690838575363159,-0.37283849716186523
2010-07-01 06:30:00,0.1080000028014183,pre,training,0.22645070014927293,-0.11845069734785463,0.43495121598243713,-0.32695121318101883
2010-07-01 07:00:00,-2.8380000591278076,pre,training,-3.0479943436425385,0.2099942845147309,-2.6690673828125,-0.16893267631530762
2010-07-01 07:30:00,3.990999937057495,pre,training,3.6036706356334807,0.38732930142401445,3.4135725498199463,0.5774273872375488
2010-07-01 08:00:00,-2.38700008392334,pre,training,-2.6455601110057736,0.25856002708243375,-2.5743002891540527,0.1873002052307129
