dataset,model,selection_mode,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,n_features,metric_scale,selection_design_seconds,selection_fit_seconds,selection_training_inference_seconds,selection_validation_inference_seconds,selection_total_inference_seconds,selection_total_seconds,training_mse,training_mae,training_rmse,training_sum_squared_error,training_sum_absolute_error,training_root_sum_squared_error,training_mean_gap,training_abs_mean_gap,training_cumulative_gap,training_abs_cumulative_gap,training_same_sign_gap_share,training_effect_direction,training_scaled_mse,training_scaled_mae,training_scaled_rmse,training_scaled_sum_squared_error,training_scaled_sum_absolute_error,training_scaled_root_sum_squared_error,training_scaled_mean_gap,training_abs_scaled_mean_gap,training_scaled_cumulative_gap,training_abs_scaled_cumulative_gap,training_scaled_mse_to_mae_ratio,training_scaled_rmse_to_mae_ratio,validation_mse,validation_mae,validation_rmse,validation_sum_squared_error,validation_sum_absolute_error,validation_root_sum_squared_error,validation_mean_gap,validation_abs_mean_gap,validation_cumulative_gap,validation_abs_cumulative_gap,validation_same_sign_gap_share,validation_effect_direction,validation_scaled_mse,validation_scaled_mae,validation_scaled_rmse,validation_scaled_sum_squared_error,validation_scaled_sum_absolute_error,validation_scaled_root_sum_squared_error,validation_scaled_mean_gap,validation_abs_scaled_mean_gap,validation_scaled_cumulative_gap,validation_abs_scaled_cumulative_gap,validation_scaled_mse_to_mae_ratio,validation_scaled_rmse_to_mae_ratio,selected_for_model
bess,SCM,single_validation_split,0.01,True,False,,338,2.688379967548493,0.7146669849998943,0.15578881900000852,0.008899477999875671,0.0018045769993477734,0.010704054999223445,0.16651078199993208,1.4569375454454832,0.9457310712044068,1.2070366794118077,37216.01266085942,24157.75448284537,192.91452164329004,0.04234392595323477,0.04234392595323477,1081.633244549429,1081.633244549429,0.5204353272784216,positive,0.20158565961671318,0.35178474866661413,0.4489829168428496,5149.304089249322,8985.989619939992,71.75865166827845,0.01575072216887845,0.01575072216887845,402.3364470818311,402.3364470818311,0.5730369505238432,1.2763001197313133,1.2295748726936662,0.8860753432170946,1.10886197188544,8972.207846045681,6465.691779455139,94.72173903621956,-0.053927412503703476,0.053927412503703476,-393.50832903952426,393.50832903952426,0.5166506783609702,negative,0.17012717019678425,0.329594534222444,0.4124647502475627,1241.4179609259347,2405.0513162211737,35.23376166301201,-0.02005944589480012,0.02005944589480012,-146.37377669435648,146.37377669435648,0.5161710906345464,1.2514307957825217,True
bess,NN-SCM,single_validation_split,0.05,,,483.0,338,2.688379967548493,0.9200959330000842,178.05051057199944,1.5026682059997256,0.46898357900045085,1.9716517850001765,180.02217996799936,0.5868980877377519,0.5456394713634073,0.7660927409509581,14991.724753173134,13937.814656506875,122.44069892471676,-0.09453542731565914,0.09453542731565914,-2414.812955351197,2414.812955351197,0.5516363921077356,negative,0.08120474245052625,0.202962184642735,0.284964458223348,2074.2939411562425,5184.4660445140225,45.544417233687845,-0.035164459063376015,0.035164459063376015,-898.240942314877,898.240942314877,0.4000978930802663,1.404027349848238,0.46494458146928597,0.48789586779874045,0.6818684488002696,3392.7006109813797,3560.176147327409,58.2468935736609,-0.020781999930523834,0.020781999930523834,-151.64625349303242,151.64625349303242,0.5041797999177744,negative,0.06433093884751546,0.18148322546966747,0.25363544477756944,469.4228607703203,1324.2830962521634,21.666168576153936,-0.0077303060509987115,0.0077303060509987115,-56.408043254137596,56.408043254137596,0.35447319542084915,1.3975696327921021,True
