Agent,Building,Total Profit,Total Cost,Total Emissions,Total Raw Reward,RuntimeSeconds,TrainingSeconds,InferenceTotalSeconds,InferenceMeanSeconds,InferenceMedianSeconds,InferenceMaxSeconds,NumInferenceDecisions,Seed,TrainSteps
LL_TD3,building_1,-992.3858638040414,992.3858638040414,3850.366708033164,1476.5595824465724,587.5563612119995,383.3574093919997,141.06540674898042,0.008051678467407558,0.008036047000587132,0.01408203700066224,17520,1042,10000
LL_TD3,building_2,-1116.258700435147,1116.258700435147,4025.683444952269,267.13108383534285,587.9695132940005,383.77713297100036,141.13345347195627,0.008055562412782892,0.008039915499921335,0.013816419999784557,17520,2042,10000
LL_TD3,building_3,-319.2655030012344,319.2655030012344,1332.0717231646195,226.54894378028678,587.3896033230003,382.9873956799993,141.37858742999015,0.008069554077054232,0.008037043999138405,0.37122733700016397,17520,3042,10000
LL_TD3,building_4,-957.8990675975858,957.8990675975858,3820.46416902298,147.69302448170782,582.9578603670016,385.03880036400005,137.42635968119794,0.007843970301438238,0.00783138950009743,0.01373710799998662,17520,4042,10000
LL_TD3,building_5,-1097.6050609154854,1097.6050609154854,4360.687112743112,108.70327432880048,586.458215861001,387.99710780700116,137.995796602092,0.007876472408795207,0.007870639500652032,0.014684499999930267,17520,5042,10000
