dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,436,0.05,,,235.0,0.027202,0.131072,0.022038,0.116638,0.034346,0.144388,1.262635,0.027337,0.129195,-0.028573,0.009695,0.029297,0.13426,-0.074614,-0.027754,-1177.632457,-438.045392,0.584933,0.218214,,,,0.000484,1.352335,96.446558,0.31875,0.0,98.118172,0.000575,2.231074,106.516092,2.243845,1219.79009,1330.781686,1428.899858,,,,,,,,,,,,,1.071713,1.039205
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,100,436,0.01,True,False,,0.020593,0.10883,0.016927,0.098109,0.02954,0.131324,1.434451,0.020578,0.108498,0.010127,-0.009172,0.019719,0.106169,0.019697,0.007327,310.874408,115.636336,0.479693,0.185731,,,,0.000403,0.970305,0.340559,0.001441,0.0,1.312759,0.000565,1.69981,0.361693,0.020612,142.515107,144.597796,145.910555,,,,,,46.354176,0.463542,46.354176,0.463542,0.325806,0.325806,69.715378,0.958267,0.978534
