timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.084,0.0,0.084,0.084,0.084,0.0,0.24614,1.0100194492761367,-0.02067576,0.0848416337391955,0.0,0.0,-0.02067576,-0.02067576,0.0848416337391955,0.0848416337391955,0.0,0.0,0.0,0.0,0.0,0.03470431200003077
1,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.084,0.0,0.084,0.084,0.084,0.0,0.2427899999999999,1.0086042505143096,-0.020394359999999993,0.08472275704320201,0.0,0.0,-0.020394359999999993,-0.041070119999999995,0.08472275704320201,0.1695643907823975,0.0,0.0,0.0,0.0,0.0,0.029469163999692682
2,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,2.012,0.0,2.012,2.012,2.012,0.0,0.2410399999999999,1.0058577644337745,-0.48497247999999976,2.0237858220407543,0.0,0.0,-0.48497247999999976,-0.5260425999999998,2.0237858220407543,2.1933502128231517,0.0,0.0,0.0,0.0,0.0,0.02952242399987881
3,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,2.062,0.0,2.062,2.062,2.062,0.0,0.24123,1.0084493370808598,-0.49741625999999994,2.079422533060733,0.0,0.0,-0.49741625999999994,-1.0234588599999999,2.079422533060733,4.272772745883884,0.0,0.0,0.0,0.0,0.0,0.029544516999976622
4,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.87,0.0,0.87,0.87,0.87,0.0,0.2365399999999999,1.0069211806071423,-0.2057897999999999,0.8760214271282138,0.0,0.0,-0.2057897999999999,-1.2292486599999997,0.8760214271282138,5.148794173012098,0.0,0.0,0.0,0.0,0.0,0.03431533100001616
5,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.0,0.091,0.091,0.091,0.0,0.23507,1.0086558883254595,-0.02139137,0.09178768583761682,0.0,0.0,-0.02139137,-1.2506400299999996,0.09178768583761682,5.240581858849715,0.0,0.0,0.0,0.0,0.0,0.02964849799991498
6,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.083,0.0,0.083,0.083,0.083,0.0,0.23101,1.0118638873431471,-0.01917383,0.08398470264948121,0.0,0.0,-0.01917383,-1.2698138599999995,0.08398470264948121,5.3245665614991955,0.0,0.0,0.0,0.0,0.0,0.02961479399982636
7,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.0,0.091,0.091,0.091,0.0,0.22352,1.014524848298966,-0.02034032,0.0923217611952059,0.0,0.0,-0.02034032,-1.2901541799999996,0.0923217611952059,5.416888322694401,0.0,0.0,0.0,0.0,0.0,0.03378531299995302
8,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.093,0.0,0.093,0.093,0.093,0.0,0.23591,1.0172455154739266,-0.02193963,0.09460383293907518,0.0,0.0,-0.02193963,-1.3120938099999997,0.09460383293907518,5.511492155633476,0.0,0.0,0.0,0.0,0.0,0.029528960999869014
9,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.096,0.0,0.096,0.096,0.096,0.0,0.2391499999999999,1.020054935136801,-0.02295839999999999,0.09792527377313288,0.0,0.0,-0.02295839999999999,-1.3350522099999997,0.09792527377313288,5.6094174294066095,0.0,0.0,0.0,0.0,0.0,0.029669128000023193
10,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.24173,1.0237680164947986,-0.02296435,0.09725796156700588,0.0,0.0,-0.02296435,-1.3580165599999998,0.09725796156700588,5.706675390973615,0.0,0.0,0.0,0.0,0.0,0.02930322000020169
11,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.2405499999999999,1.0275343493455449,-0.02285224999999999,0.09761576318782676,0.0,0.0,-0.02285224999999999,-1.3808688099999997,0.09761576318782676,5.804291154161442,0.0,0.0,0.0,0.0,0.0,0.033339367999815295
12,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.083,0.0,0.083,0.083,0.083,0.0,0.2397599999999999,1.0269066272037537,-0.019900079999999994,0.08523325005791156,0.0,0.0,-0.019900079999999994,-1.4007688899999997,0.08523325005791156,5.889524404219354,0.0,0.0,0.0,0.0,0.0,0.029451904999859835
13,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,1.127,0.0,1.127,1.127,1.127,0.0,0.24155,1.026269222972372,-0.27222684999999996,1.1566054142898632,0.0,0.0,-0.27222684999999996,-1.6729957399999997,1.1566054142898632,7.0461298185092165,0.0,0.0,0.0,0.0,0.0,0.02964927599987277
14,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.097,0.0,0.097,0.097,0.097,0.0,0.2415999999999999,0.9829095984224372,-0.02343519999999999,0.09534223104697641,0.0,0.0,-0.02343519999999999,-1.6964309399999997,0.09534223104697641,7.141472049556193,0.0,0.0,0.0,0.0,0.0,0.029500109999844426
15,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.006,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.0,0.24414,0.8853690005234656,-0.020751899999999997,0.07525636504449457,0.0,0.0,-0.020751899999999997,-1.7171828399999998,0.07525636504449457,7.216728414600688,0.0,0.0,0.0,0.0,0.0,0.034647145999770146
16,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.085,0.013,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.0,0.2443,0.764925419697913,-0.0175896,0.05507463021824974,0.0,0.0,-0.0175896,-1.7347724399999997,0.05507463021824974,7.271803044818937,0.0,0.0,0.0,0.0,0.0,0.029841499000212934
17,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.075,0.038,0.037,0.037,0.037,0.0,0.2478699999999999,0.6733344658523692,-0.009171189999999996,0.02491337523653766,0.0,0.0,-0.009171189999999996,-1.7439436299999997,0.02491337523653766,7.296716420055475,0.0,0.0,0.0,0.0,0.0,0.029513350000343053
18,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.336,0.056,0.28,0.28,0.28,0.0,0.2495899999999999,0.6071251098686018,-0.06988519999999998,0.16999503076320852,0.0,0.0,-0.06988519999999998,-1.8138288299999998,0.16999503076320852,7.466711450818683,0.0,0.0,0.0,0.0,0.0,0.033938591000151064
19,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.189,0.113,0.076,0.076,0.076,0.0,0.2495,0.5511416541741138,-0.018962,0.04188676571723265,0.0,0.0,-0.018962,-1.8327908299999998,0.04188676571723265,7.5085982165359155,0.0,0.0,0.0,0.0,0.0,0.02981601600004069
20,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.18,0.138,0.04199999999999998,0.04199999999999998,0.04199999999999998,0.0,0.2497599999999999,0.5152824216937024,-0.010489919999999991,0.021641861711135493,0.0,0.0,-0.010489919999999991,-1.8432807499999997,0.021641861711135493,7.530240078247051,0.0,0.0,0.0,0.0,0.0,0.029398035999747663
21,0.0849093496799469,0.028000000275536507,0.028000000275536507,0.014000000137768254,0.014000000137768254,0.014000000137768254,0.01415155827999115,0.9892903566360474,0.3297634522120158,0.18,0.194,-0.014000000000000012,1.3776824125955045e-10,1.3776824125955045e-10,0.0,0.2463199999999999,0.491872742745213,0.0007000000000000006,0.0,-0.0007000000339350738,-6.77644426915193e-11,-3.393507318705245e-11,-1.8432807500339348,6.77644426915193e-11,7.530240078314815,0.0,0.0,0.0,-0.00035000005084975827,-0.0033919449828756073,0.02923401600037323
22,-0.0849093496799469,-0.028000000275536507,-0.028000000275536507,-0.014000000137768254,-0.014000000137768254,0.0,0.0,0.9892903566360474,0.3297634522120158,0.196,0.15,0.04600000000000001,0.03199999986223176,0.03199999986223176,0.0,0.2477599999999999,0.4796571730450639,-0.011396959999999998,0.022064229960072946,0.00346864003413346,0.006715200488712426,-0.007928319965866537,-1.8512090699998014,0.01534902947136052,7.545589107786176,0.0,0.0,0.0,0.005091920261422943,0.04934717392755525,0.03338405399972544
