dataset,series,cluster
Spark,building_8,0
Spark,building_10,0
Spark,building_11,0
Spark,building_12,0
Spark,building_13,2
Spark,building_14,0
Spark,building_16,0
Spark,building_18,1
Spark,building_21,1
Spark,building_22,2
