timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
5040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.124,0.0,0.124,0.124,0.124,0.0,0.2479299999999999,1.021281996387436,-0.030743319999999987,0.12663896755204207,0.0,0.0,-0.030743319999999987,-266.09941717329775,0.12663896755204207,1034.888428615937,0.0,0.0,0.0,0.0,0.0,0.00032640899996749795
5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.121,0.0,0.121,0.121,0.121,0.0,0.24525,1.019851016996099,-0.02967525,0.12340197305652797,0.0,0.0,-0.02967525,-266.1290924232978,0.12340197305652797,1035.0118305889937,0.0,0.0,0.0,0.0,0.0,0.00032633499995426973
5042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.117,0.0,0.117,0.117,0.117,0.0,0.24422,1.0170739053381108,-0.02857374,0.11899764692455897,0.0,0.0,-0.02857374,-266.1576661632978,0.11899764692455897,1035.1308282359182,0.0,0.0,0.0,0.0,0.0,0.0003253719999634086
5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.116,0.0,0.116,0.116,0.116,0.0,0.24248,1.0196943761505248,-0.028127680000000002,0.11828454763346088,0.0,0.0,-0.028127680000000002,-266.1857938432978,0.11828454763346088,1035.2491127835517,0.0,0.0,0.0,0.0,0.0,0.00032618700004150014
5044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,2.1340000000000003,0.0,2.1340000000000003,2.1340000000000003,2.1340000000000003,0.0,0.2410399999999999,1.0181491794759567,-0.5143793599999998,2.172730349001692,0.0,0.0,-0.5143793599999998,-266.7001732032978,2.172730349001692,1037.4218431325535,0.0,0.0,0.0,0.0,0.0,0.00033076099998652353
5045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.14,0.0,0.14,0.14,0.14,0.0,0.24101,1.01990323061129,-0.033741400000000005,0.14278645228558062,0.0,0.0,-0.033741400000000005,-266.7339146032978,0.14278645228558062,1037.5646295848392,0.0,0.0,0.0,0.0,0.0,0.0003259650000018155
5046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.091,0.0,0.091,0.091,0.091,0.0,0.24103,1.0231470014550508,-0.02193373,0.09310637713240962,0.0,0.0,-0.02193373,-266.7558483332978,0.09310637713240962,1037.6577359619716,0.0,0.0,0.0,0.0,0.0,0.00032524199997396863
5047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.24103,1.0258376343128786,-0.02289785,0.09745457525972347,0.0,0.0,-0.02289785,-266.7787461832978,0.09745457525972347,1037.7551905372313,0.0,0.0,0.0,0.0,0.0,0.0003304089999573989
5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.094,0.0,0.094,0.094,0.094,0.0,0.2422599999999999,1.0285886391632713,-0.02277243999999999,0.0966873320813475,0.0,0.0,-0.02277243999999999,-266.8015186232978,0.0966873320813475,1037.8518778693126,0.0,0.0,0.0,0.0,0.0,0.0003265010000177426
5049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.095,0.0,0.095,0.095,0.095,0.0,0.24258,1.031429386164774,-0.0230451,0.09798579168565354,0.0,0.0,-0.0230451,-266.8245637232978,0.09798579168565354,1037.9498636609983,0.0,0.0,0.0,0.0,0.0,0.00032629800000449904
5050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.088,0.0,0.088,0.088,0.088,0.0,0.2440699999999999,1.0351838714321244,-0.02147815999999999,0.09109618068602694,0.0,0.0,-0.02147815999999999,-266.8460418832978,0.09109618068602694,1038.0409598416843,0.0,0.0,0.0,0.0,0.0,0.00034883500001114953
5051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.085,0.0,0.085,0.085,0.085,0.0,0.24301,1.0389922019901414,-0.020655850000000003,0.08831433716916202,0.0,0.0,-0.020655850000000003,-266.8666977332978,0.08831433716916202,1038.1292741788534,0.0,0.0,0.0,0.0,0.0,0.00032759399999804373
5052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.094,0.0,0.094,0.094,0.094,0.0,0.2440699999999999,1.0383574802304718,-0.02294257999999999,0.09760560314166435,0.0,0.0,-0.02294257999999999,-266.88964031329783,0.09760560314166435,1038.226879781995,0.0,0.0,0.0,0.0,0.0,0.0003272609999953602
5053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.09,0.0,0.09,0.09,0.09,0.0,0.24408,1.037712968417954,-0.0219672,0.09339416715761586,0.0,0.0,-0.0219672,-266.91160751329784,0.09339416715761586,1038.3202739491526,0.0,0.0,0.0,0.0,0.0,0.00032714999997551786
5054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.4329999999999999,0.013,0.4199999999999999,0.4199999999999999,0.4199999999999999,0.0,0.2417699999999999,0.993869848411994,-0.10154339999999992,0.41742533633303736,0.0,0.0,-0.10154339999999992,-267.01315091329786,0.41742533633303736,1038.7376992854856,0.0,0.0,0.0,0.0,0.0,0.0003275569999914296
5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.6759999999999999,0.031,0.6449999999999999,0.6449999999999999,0.6449999999999999,0.0,0.2441299999999999,0.8952415926665435,-0.1574638499999999,0.5774308272699205,0.0,0.0,-0.1574638499999999,-267.17061476329786,0.5774308272699205,1039.3151301127555,0.0,0.0,0.0,0.0,0.0,0.0003277609999940978
