dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,536,0.05,,,132.0,0.02581,0.127263,0.020769,0.112943,0.034604,0.145102,1.340738,0.026382,0.127282,-0.01833,0.010254,0.027921,0.131276,-0.027934,-0.01039,-440.875531,-163.993013,0.549642,0.212689,,,,0.001265,6.839162,56.557039,0.340117,0.0,63.73763,0.001412,8.433276,63.845719,2.39255,1302.82456,1377.497527,1441.235157,,,,,,,,,,,,,1.058339,1.031381
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,100,536,0.01,True,False,,0.017948,0.101097,0.015689,0.093017,0.026786,0.124625,1.492474,0.018273,0.101653,0.00464,-0.00683,0.019203,0.104702,0.008846,0.00329,139.614035,51.932404,0.461763,0.183411,,,,0.001279,6.658945,0.545452,0.001795,0.0,7.207524,0.001224,8.048632,0.564764,0.024157,212.576331,221.215116,228.422641,,,,,,44.630515,0.446305,56.268609,0.562686,0.263761,0.404059,98.076252,1.050936,1.029993
