dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,299,0.05,,,55.0,0.024178,0.119283,0.019723,0.108239,0.032259,0.136433,1.334245,0.023635,0.120148,-0.031034,0.005185,0.022373,0.118437,-0.102574,-0.038142,-1618.926669,-601.989865,0.671482,0.188901,,,,0.000397,0.817022,21.02767,0.313016,0.0,22.158152,0.000583,1.374914,23.167901,2.129895,1.167206,27.840508,49.99866,,,,,,,,,,,,,0.946599,0.985758
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,299,299,0.01,True,False,,0.019452,0.103832,0.016454,0.094268,0.031034,0.127139,1.595431,0.019745,0.104238,0.004572,0.001099,0.017985,0.099096,0.001851,0.000688,29.213843,10.863023,0.434138,0.18149,,,,0.000382,0.59113,0.156567,0.001011,0.0,0.749141,0.000498,0.97842,0.167717,0.013538,0.219617,1.379799,2.12894,,,,,,164.300338,0.549499,164.300338,0.549499,0.392048,0.392048,164.300338,0.910855,0.950669
