Building,noBess_Profit,noBess_Emissions,RuleBess_Profit,RuleBess_Emissions,MIP_Profit,MIP_Emissions,MPC_Profit,MPC_Emissions,LL_DDPG_Profit,LL_DDPG_Emissions,LL_TD3_Profit,LL_TD3_Emissions,LL_SAC_Profit,LL_SAC_Emissions,EcoPriority
building_1,-1366.427726509994,6429.444010220377,-1058.1171177318236,4861.079807004507,-880.0025833047513,3491.0541504114594,-960.8873849402554,3887.0136690573822,-1321.1297464516215,6232.258186929619,-992.3858638040414,3850.366708033164,-1012.4808713136117,4076.546043619661,0.5
building_2,-1183.939826549999,4492.264486508107,-1095.5469222289028,4064.8570206223953,-1087.3227732241344,3882.154298671056,-1107.0703384136093,3993.3222818286135,-1123.110677220959,4236.578084034993,-1116.258700435147,4025.683444952269,-1148.763966367088,4144.090653718447,0.5
building_3,-383.1451722399996,1721.289941486433,-310.20132638602524,1360.1508721416885,-259.222789452251,997.9270942780029,-284.010634192848,1119.3504093870033,-376.02308719106423,1692.4618269601858,-319.2655030012344,1332.0717231646195,-332.1816198307486,1409.7918910419091,0.5
building_4,-994.7027162799993,4079.0465693039814,-942.1686309561618,3824.3651791621232,-939.303543150163,3739.8867040687014,-947.3171378752562,3780.7065397478373,-994.7027162799993,4079.0465693039814,-957.8990675975858,3820.46416902298,-956.0405306080611,3822.3908043564616,0.5
building_5,-1125.156312220002,4550.542410096185,-1090.753808736613,4382.788371219784,-1086.8578834783948,4312.661612249268,-1093.495037560692,4345.741341213638,-1097.0886628860644,4404.731160893301,-1097.6050609154854,4360.687112743112,-1099.9109453966232,4392.934667505975,0.5
