dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio,experiment_id,feature_mode,control_group_size,control_group_size_label,repetition,base_random_state,run_random_state,enable_linear_scm,enable_nn_scm,linear_lambda_grid,sum_to_one_grid,positive_weights_constraint_grid,standardize_linear_features,nn_lambda_grid,nn_hidden_units,nn_learning_rate,nn_epochs,nn_batch_size,nn_early_stopping_patience,standardize_nn_features,use_lagged_treated,lagged_treated_steps,use_topk_donor_lags,donor_lag_past_steps,donor_lag_top_k,pre_validation_fraction,pre_test_fraction,use_cross_validation_if_small,min_validation_rows,min_test_rows,cv_folds,enable_placebo_tests,max_placebos,enable_jackknife_tests,max_jackknife_donors,run_save_dir
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,100,0.05,,,169.0,0.031706,0.144845,0.025727,0.130818,0.034531,0.1434,1.089088,0.027375,0.130715,-0.045556,0.03143,0.026477,0.130424,-0.149859,-0.055724,-2365.216795,-879.494153,0.697206,0.203007,,,,0.000141,0.168426,18.241375,0.164544,0.0,18.574511,0.00023,0.252264,20.303597,1.051333,0.492301,22.099728,40.674238,,,,,,,,,,,,,0.967211,0.997778,features=standard_donors__controls=100__rep=0,standard_donors,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,2,0.05,,,888.0,0.12743,0.267326,0.094684,0.236945,0.145818,0.295542,1.144297,0.188873,0.337703,-0.240576,0.069342,0.133119,0.292329,-0.547494,-0.203583,-8641.10357,-3213.151572,0.757461,0.455375,,,,0.000108,0.00506,82.048977,0.153345,0.0,82.207513,0.00021,0.006745,86.987564,0.968435,0.426823,88.389782,170.597294,,,,,,,,,,,,,0.704808,0.865641,features=standard_donors__controls=2__rep=0,standard_donors,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=2__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,50,0.05,,,198.0,0.033654,0.138082,0.03029,0.135404,0.044243,0.162841,1.314624,0.032114,0.134888,-0.021501,-0.042302,0.031261,0.136327,-0.128407,-0.047747,-2026.644737,-753.59781,0.671799,0.229312,,,,0.000132,0.080065,18.624219,0.156367,0.0,18.860804,0.000213,0.118394,20.527286,0.998958,0.452986,22.09784,40.958644,,,,,,,,,,,,,0.973464,1.010669,features=standard_donors__controls=50__rep=0,standard_donors,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=50__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,299,0.05,,,56.0,0.023999,0.118766,0.019548,0.107629,0.032324,0.136508,1.346908,0.023624,0.120003,-0.031253,0.004977,0.022409,0.118448,-0.103862,-0.038621,-1639.254786,-609.548775,0.671799,0.18919,,,,0.00021,0.490864,7.587811,0.173192,0.0,8.2521,0.000273,0.737738,8.029865,1.132605,0.606157,10.506639,18.75874,,,,,,,,,,,,,0.948581,0.987046,features=standard_donors__controls=all__rep=0,standard_donors,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=all__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,536,0.05,,,176.0,0.02627,0.128308,0.021271,0.114093,0.034812,0.144409,1.325154,0.026501,0.127138,-0.024211,0.013175,0.028164,0.131392,-0.049434,-0.018388,-780.220341,-290.219519,0.565228,0.214349,,,,0.000577,2.75503,27.106247,0.173743,0.0,30.035619,0.000561,3.335983,29.501094,1.176365,724.38749,758.401495,788.437114,,,,,,,,,,,,,1.062727,1.03346,features=treated_and_donor_lags__controls=100__rep=0,treated_and_donor_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,340,0.05,,,255.0,0.084908,0.208483,0.068054,0.187382,0.090451,0.215159,1.065281,0.124158,0.263545,-0.192589,0.07267,0.218874,0.36445,-0.859188,-0.319593,-13560.559997,-5044.138165,0.856364,0.600559,,,,0.000186,0.655901,40.505305,0.184042,0.0,41.345479,0.00029,0.922409,45.597206,1.305378,622.642355,670.467642,711.813121,,,,,,,,,,,,,1.762864,1.382875,features=treated_and_donor_lags__controls=2__rep=0,treated_and_donor_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=2__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,436,0.05,,,135.0,0.031448,0.134499,0.02533,0.120482,0.038071,0.151895,1.210613,0.034176,0.142646,-0.032199,0.002557,0.037285,0.151893,-0.104568,-0.038896,-1650.39356,-613.898921,0.595704,0.245471,,,,0.000351,1.681939,19.884056,0.173034,0.0,21.739403,0.000418,2.090976,21.972347,1.156779,692.36272,717.583243,739.322646,,,,,,,,,,,,,1.090971,1.064824,features=treated_and_donor_lags__controls=50__rep=0,treated_and_donor_lags,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=50__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,934,0.05,,,375.0,0.024341,0.12159,0.021118,0.113956,0.032363,0.134374,1.329586,0.025815,0.124996,-0.042938,0.008622,0.025931,0.125913,-0.109087,-0.040577,-1721.720844,-640.430618,0.644998,0.205944,,,,0.001092,7.161213,64.334451,0.187202,0.0,71.683984,0.00114,8.369812,72.256852,1.370783,857.990443,939.989032,1011.673016,,,,,,,,,,,,,1.004495,1.007329,features=treated_and_donor_lags__controls=all__rep=0,treated_and_donor_lags,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=all__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,100,436,0.05,,,222.0,0.027291,0.131413,0.022048,0.11676,0.034728,0.145852,1.272521,0.027346,0.12922,-0.028043,0.009666,0.029343,0.134366,-0.073354,-0.027286,-1157.745031,-430.647842,0.583856,0.218384,,,,0.000196,0.736168,32.304495,0.171027,0.0,33.21191,0.000365,1.11392,36.200502,1.15208,692.368517,730.835388,764.047299,,,,,,,,,,,,,1.073052,1.039819,features=treated_lags__controls=100__rep=0,treated_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=100__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,2,338,0.05,,,604.0,0.080295,0.201123,0.063682,0.180746,0.105892,0.229653,1.318792,0.13245,0.274939,-0.215336,0.088721,0.271147,0.403986,-0.980104,-0.364571,-15468.985654,-5754.017602,0.873662,0.67118,,,,0.000157,0.545107,71.530541,0.160869,0.0,72.236698,0.000257,0.818803,78.526936,1.074945,649.236633,729.657579,801.894277,,,,,,,,,,,,,2.047163,1.469364,features=treated_lags__controls=2__rep=0,treated_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=2__rep=0
